review,score,label,score/counter,tanggal,sentiment
kalau bli cuman buat lebih baik cari deh mahal biji rp kecil suap kelar deh hadeuhh mn kenyang lebih baik baso sekali jelas layan lambat banget cari parkir susah lebih baik naik motor kalau kesini lebih org bain ribet buat beli kesini ga deh,-1,negatif,-0.022727272727272728,2017-02-01,2
sini hitung harga mirip warung nasi padang tidak harga cantum menu makan datang meja langsung bayar bayar kasir toliet lantai tidak befungsi tolilet lantai satu tidak tempat sampah nampak tisuue wc cecer sampung closet nampaknya tidak tugas bersih,0,netral,0.0,2016-01-01,0
makan siang istri anak anak tahun baru restaurant sangat chaotic pertama tama perlu waktu tunggu kursi tiba menit duduk tidak langsung datang layan saji daftar menu perlu waktu menit meja hadap menit belum bersih makan tiba batagor siomay nya memang lezat tidak padan juang tunggu belum minum orange juice sendiri belum keluar jam ulang satu jam semua mau pergi baru datang benar benar alam chaotic makan batagor siomay sini,-2,negatif,-0.028985507246376812,2016-01-01,2
makan biasa sama batagor jual jalan sangat mahal tidak pantas akhir tidak beri nyata tagih,-3,negatif,-0.2,2016-12-01,2
restoran lebih tidak temu khusus sini tempat kecil antri terlalu panjang terkadang langgan ikut diri depan tunggu tempat duduk tidak datang sini,-2,negatif,-0.09090909090909091,2015-08-01,2
jujur pikir penting jalan bisnis bayar rupiah hari taruh meja kasir cari rupiah temu kasir kata uang atas meja rb cek silang teman kata beri rb semua teman lihat sangat buruk layan tidak pernah beri rekomendasi teman teman tipu restoran,1,positif,0.025,2015-07-01,1
penasaran ktnya wenak pesan batagor isi siomay isi cilok es cendol biasa es cendol durian plus taxes total harga belum update kalau pesan online contoh cilok dr and all kaget lihat harga rasa sangat biasa it s too pricey and the size is relatively small but everyone has own taste which might be different,-1,negatif,-0.018518518518518517,2019-08-01,2
kemari siang hari waktu makan siang hari minggu sama teman kelompok kecil ber delapan orang lantai atas tunggu kursi orang sedang makan semua kursi penuh akhir meja ukur orang akhir tempat ber enam tunggu antri meja meja sebut terlalu sempit orang pas pas orang benar lama duduk tidak layan nyamperin bahkan meja tidak bersih beberapa kali panggil layan bersih mes makan pesan tidak dateng atas menit dekat jam pesan dateng akhir orang meja makan makan porsi sitem nyobain lebih jam makan lebih tunggu tidak dateng orang cancel makan belon dateng sebut turun bayar sendiri minum tidak suka batagor posisi kenyang restoran lebih jam sangat buang waktu tidak muas ruang sangat panas rasa makan terlalu biasa bilang kurang es jeruk minum rasa makan tidak sesuai harga bilang sangat mahal not recommended saran perhati nyaman ruang pakai ac ruang besar sebut nyaman ruang sangat penting bagaimana orang tunggu makan antri sekian lama ruang panas sangat tidak nyaman musim ramai week end kelola milik perlu sekali tambah layan baru mungkin layan tambah cadang sesuai jumlah tamu dateng jumlah layan semua layan baik benar,-1,negatif,-0.005555555555555556,2017-01-01,2
sama keluarga makan malam tempat menu utama batagor menu mes menu akhir datang menit beberapa kali tanya segi rasa beberapa menu sblmnya pernah coba lumayan enak saran sblm mes lbh baik tanya berapa lama buat menu pes,2,positif,0.05405405405405406,2016-11-01,1
harga rasa porsi cukup gambar sebenarny sih tahu hargany cuma syok lihat modelny lama kukus jadi basah lembek gitu hmm bingung saran coba g cm penasaran silah,-3,negatif,-0.1111111111111111,2016-01-01,2
betul kesana sore hari habis batagor akhir pilih siomay isi cuma mie minum botol aqua harga tidak sahabat ruang panas pengap kotor,0,netral,0.0,2015-08-01,0
batagor kenal rasa benar enak goreng pakai minyak lama jadi jatuh nilai rasa harga luar biasa mahal ukur batagor saran milik minyak jangan terlalu lama rusak rasa kunjung tidak puas,-6,negatif,-0.2,2015-06-01,2
kunjung jumat ags sore hari tempat diri lantai naik lantai atas bawah penuh jual kue rang jus bawah batagor jual per porsi diri tiga potong rada heran siomay tidak jual hari bahkan daftar menu tidak hubung lebih suka siomay kurang sreg awal nunggu lama batagor mie kocok datang oke batagor renyah goreng pas bumbu kental meski rada pedes kalau buat anak kecil entah rasa ikan kok kurang buat kalau memang batagor enak memang tidak jodoh sama batagor buat rasa tidak spektakuler ingat status legendaris hitung harga mahal menu mie kocok lumayan yakin mie kocok lebih mantap tips unjung lantai atas kasir situ tidak perlu bawah,0,netral,0.0,2014-09-01,0
